App,Version,Package,AndroidVersion,minSdkVersion,Landroid/app/job/JobInfo/Builder;->build,Lcom/google/android/gms/gcm/PeriodicTask/Builder;->build,Lcom/google/android/gms/gcm/OneoffTask/Builder;->build,Landroid/app/AlarmManager;->setWindow,Landroid/app/AlarmManager;->setExact,Landroid/app/AlarmManager;->setExactAndAllowWhileIdle,Landroid/app/AlarmManager;->setInexactRepeating,Landroid/app/AlarmManager;->setRepeating,Landroid/app/AlarmManager;->set,Landroid/app/AlarmManager;->setAndAllowWhileIdle,Landroid/app/AlarmManager;->setAlarmClock,Lcom/firebase/jobdispatcher/FirebaseJobDispatcher;->newJobBuilder,Landroid/os/Handler;->post,Landroid/os/Handler;->postDelayed,Landroid/os/Handler;->sendEmptyMessage,Landroid/os/Handler;->sendMessage,Landroid/os/Handler;->sendMessageAtTime,Landroid/os/Handler;->sendMessageDelayed
aboard.and.koabacus,1.0,aboard.and.koabacus,15,7,0,0,0,0,0,0,0,0,0,0,0,0,91,26,47,73,0,13
air.cn.kx.wg.empirecraft,2.1.1,air.cn.kx.wg.empirecraft,,8,0,0,0,0,0,0,0,0,0,0,0,0,32,12,9,5,0,4
air.com.tangerinepop.JewelionAndroid,1.6.2,air.com.tangerinepop.JewelionAndroid,,8,0,0,0,0,0,0,1,0,1,0,0,0,39,10,3,14,0,10
at.himmelsgarten.sananda,1.1.2,at.himmelsgarten.sananda,,14,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0
biz.app4mobile.app_0051b18ffe094777820b10b1e856657c.app,1.9.35.558,biz.app4mobile.app_0051b18ffe094777820b10b1e856657c.app,,8,0,0,0,0,0,0,0,0,1,0,0,0,28,17,6,1,0,0
br.com.restauranteweb_santo_antonio_botequim,3.0,br.com.restauranteweb_santo_antonio_botequim,,8,0,0,0,0,0,0,0,0,1,0,0,0,37,8,6,12,0,18
ch.defiant.purplesky,1.1.6,ch.defiant.purplesky,21,9,0,0,0,0,0,0,1,0,0,0,0,0,51,8,11,20,0,13
cn.mozilla.firefox,36.0,cn.mozilla.firefox,,9,0,0,0,0,0,0,2,0,4,0,0,0,29,21,8,15,0,1
com.a13869104165029c4ad3060a4a.a89056896a,1.03,com.a13869104165029c4ad3060a4a.a89056896a,,8,0,0,0,0,0,0,0,0,1,0,0,0,38,16,3,1,0,11
com.a185884755750246579034494a.a37574876a,1.01,com.a185884755750246579034494a.a37574876a,,8,0,0,0,0,0,0,0,0,1,0,0,0,27,13,3,1,0,13
com.a195677026450cb3406a3bd80a.a95471635a,1.01,com.a195677026450cb3406a3bd80a.a95471635a,,8,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1
com.a362289189513de98cc44118a.a85873880a,1.01,com.a362289189513de98cc44118a.a85873880a,,8,0,0,0,0,0,0,1,0,1,0,0,0,42,16,9,1,0,11
com.acm.droid.postonline,1.3.11.0,com.acm.droid.postonline,19,10,0,0,0,0,0,0,1,1,5,0,0,0,72,30,41,51,0,15
com.airkast.tunekast1245_112,5.0.3.8,com.airkast.tunekast1245_112,,10,0,0,0,0,0,0,0,0,1,0,0,0,144,68,13,30,0,38
com.airkast.WHTTFM,5.0.11.15,com.airkast.WHTTFM,,10,0,0,0,0,0,0,0,0,1,0,0,0,147,71,13,28,0,25
com.airkast.WWYYFM,5.0.6.10,com.airkast.WWYYFM,,10,0,0,0,0,0,0,0,0,1,0,0,0,144,68,13,30,0,38
com.AkMyCompany.cameraPlugin,1.3.1,com.AkMyCompany.cameraPlugin,,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0
com.alicanteinfo.app,1.7.5,com.alicanteinfo.app,,9,0,0,0,0,0,0,0,0,0,0,0,0,35,7,9,16,0,2
com.andromeda.sangsangnplayground,4.0a,com.andromeda.sangsangnplayground,,8,0,0,0,0,0,0,0,0,1,0,0,0,19,5,182,12,0,0
com.andromo.dev274283.app265143,1.0,com.andromo.dev274283.app265143,,7,0,0,0,0,0,0,0,0,0,0,0,0,31,14,4,3,0,1
com.andromo.dev285170.app270294,2.0.3,com.andromo.dev285170.app270294,,10,0,0,0,0,0,0,0,0,0,0,0,0,47,17,7,8,0,5
com.app.supp.busuikusei,1.0.6,com.app.supp.busuikusei,,9,0,0,0,0,0,0,0,0,1,0,0,0,20,3,12,5,0,6
com.app4mob.annuaire,1.0.1,com.app4mob.annuaire,,9,0,0,0,0,0,0,0,0,1,0,0,0,47,19,8,11,0,27
com.appbuilder.u137889p408141,2.6,com.appbuilder.u137889p408141,,8,0,0,0,0,0,0,0,0,1,0,0,0,8,46,302,4,0,1
com.appbuilder.u422311p879066,1,com.appbuilder.u422311p879066,,8,0,0,0,0,0,0,0,0,1,0,0,0,5,35,161,2,0,9
com.appbuilder.u97p697596,3,com.appbuilder.u97p697596,,8,0,0,0,0,0,0,0,0,1,0,0,0,8,27,137,11,0,10
com.appmakr.app408317,2,com.appmakr.app408317,,7,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,6,0,10
com.appmkliou.book.AOTJHCGQOTIJIOAO,1.5,com.appmk.book.main,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.appypie.appypiedf6642c6d79c,2.0,com.appypie.appypiedf6642c6d79c,,8,0,0,0,0,0,0,0,0,1,0,0,0,9,7,6,3,0,4
com.aqvin.jockeydash,2.012,com.aqvin.jockeydash,,9,0,0,0,0,0,0,0,0,0,0,0,0,50,26,6,10,0,16
com.AsteroGames.DeadCrisis,2.0,com.AsteroGames.DeadCrisis,,9,0,0,0,0,0,0,0,0,1,0,0,0,19,6,0,0,0,0
com.avermedia.gamemate,1.0.25,com.avermedia.gamemate,,14,0,0,0,0,0,0,0,0,0,0,0,0,9,2,3,2,0,0
